speed,rpm
25.96874,1139.798
25.9593,1139.445
25.94978,1139.165
25.9403,1138.432
25.9308,1138.299
25.92131,1137.683
25.91188,1137.386
25.90268,1137.019
25.89356,1136.409
25.88443,1136.211
25.87529,1135.78
25.86616,1135.488
25.85699,1134.786
25.84756,1134.314
25.83809,1134.11
25.82863,1133.797
25.81915,1133.293
25.80969,1132.997
25.80024,1132.289
25.79078,1132.062
25.78134,1131.469
25.77191,1131.037
25.76245,1130.722
25.753,1130.468
25.74349,1129.705
25.73359,1129.513
25.72364,1128.914
25.71368,1128.447
25.70375,1127.971
25.69379,1127.653
25.68228,1125.74
25.66267,1123.231
25.6415,1122.458
25.62025,1121.769
25.59907,1120.865
25.57791,1120.185
25.55461,1118.333
25.52044,1112.667
25.48408,1113.284
25.44769,1111.108
25.41131,1109.726
25.37502,1107.824
25.33547,1105.991
25.27961,1098.222
25.22121,1095.496
25.16198,1095.232
25.10337,1090.995
25.04447,1089.337
24.98388,1086.872
24.91386,1080.455
24.84238,1078.267
24.77068,1074.497
24.69901,1071.754
24.6274,1068.677
24.55363,1065.362
24.46922,1058.307
24.38293,1056.191
24.29661,1051.904
24.21028,1048.349
24.124,1044.666
24.03646,1040.495
23.94289,1034.575
23.84824,1031.155
23.75367,1027.325
23.65916,1023.086
23.56472,1018.774
23.4701,1014.79
23.37474,1010.671
23.27933,1006.349
23.18395,1002.375
23.08861,998.4539
22.99335,994.3419
22.89688,990.314
22.79479,983.9999
22.69217,980.2509
22.58963,975.174
22.4872,971.1346
22.38492,966.532
22.28101,962.1628
22.16982,956.7661
22.05814,951.2108
21.94652,945.9745
21.83497,941.2602
21.72346,937.1121
21.61046,933.4891
21.49074,930.2608
21.37046,927.3336
21.25021,924.6513
21.13002,922.1563
21.00988,919.7949
20.88937,917.5201
20.76628,915.2711
20.64299,913.0116
20.51974,910.7313
20.39658,908.4206
20.27348,906.0712
20.15009,903.6759
20.02462,901.2058
19.899,898.6517
19.77344,896.0226
19.64795,893.3119
19.52253,890.513
19.39621,887.2664
19.26384,883.1036
19.131,879.0337
18.9982,875.1172
18.86551,871.3513
18.73289,867.6971
18.59965,864.4534
18.46234,861.8458
18.3248,858.7905
18.18739,855.3127
18.05014,851.4893
17.91303,847.4115
17.77561,843.1631
